Date,Description,Debit,Credit,Category,Balance
2025-01-01,SALARY CREDIT - TECH CORP,0,8500,Income,8500
2025-01-02,AMAZON PRIME SUBSCRIPTION,15.99,0,Subscriptions,8484.01
2025-01-03,NETFLIX MONTHLY,12.99,0,Entertainment,8471.02
2025-01-04,STARBUCKS COFFEE,6.50,0,Food & Dining,8464.52
2025-01-05,UBER RIDE TO OFFICE,12.75,0,Transportation,8451.77
2025-01-06,WHOLE FOODS GROCERY,89.45,0,Groceries,8362.32
2025-01-07,SPOTIFY PREMIUM,9.99,0,Subscriptions,8352.33
2025-01-08,CHIPOTLE LUNCH,11.25,0,Food & Dining,8341.08
2025-01-09,GAS STATION SHELL,45.20,0,Transportation,8295.88
2025-01-10,APPLE APP STORE,2.99,0,Entertainment,8292.89
2025-01-11,COSTCO WHOLESALE,156.78,0,Groceries,8136.11
2025-01-12,DOORDASH DINNER,28.50,0,Food & Dining,8107.61
2025-01-13,LYFT RIDE HOME,18.30,0,Transportation,8089.31
2025-01-14,ELECTRICITY BILL,78.45,0,Utilities,8010.86
2025-01-15,INTERNET BILL - COMCAST,65.00,0,Utilities,7945.86
2025-01-16,PHONE BILL - VERIZON,85.00,0,Utilities,7860.86
2025-01-17,TARGET SHOPPING,67.89,0,Shopping,7792.97
2025-01-18,PANERA BREAD,14.75,0,Food & Dining,7778.22
2025-01-19,PARKING GARAGE,8.00,0,Transportation,7770.22
2025-01-20,HEALTH INSURANCE,245.00,0,Insurance,7525.22
2025-01-21,GYM MEMBERSHIP,49.99,0,Health & Fitness,7475.23
2025-01-22,COFFEE BEAN & TEA,5.25,0,Food & Dining,7469.98
2025-01-23,AMAZON PURCHASE,34.99,0,Shopping,7434.99
2025-01-24,UBER EATS,22.80,0,Food & Dining,7412.19
2025-01-25,CREDIT CARD PAYMENT,0,1200,Income,8612.19
2025-01-26,MOVIE THEATER,24.50,0,Entertainment,8587.69
2025-01-27,TRADER JOES,78.90,0,Groceries,8508.79
2025-01-28,LYFT TO AIRPORT,35.60,0,Transportation,8473.19
2025-01-29,AIRPORT FOOD,18.75,0,Food & Dining,8454.44
2025-01-30,HOTEL BOOKING,189.00,0,Travel,8265.44
2025-01-31,RENTAL CAR,156.00,0,Travel,8109.44
2025-02-01,SALARY CREDIT - TECH CORP,0,8500,Income,16609.44
2025-02-02,AMAZON PRIME SUBSCRIPTION,15.99,0,Subscriptions,16593.45
2025-02-03,NETFLIX MONTHLY,12.99,0,Entertainment,16580.46
2025-02-04,STARBUCKS COFFEE,6.50,0,Food & Dining,16573.96
2025-02-05,UBER RIDE TO OFFICE,12.75,0,Transportation,16561.21
2025-02-06,WHOLE FOODS GROCERY,89.45,0,Groceries,16471.76
2025-02-07,SPOTIFY PREMIUM,9.99,0,Subscriptions,16461.77
2025-02-08,CHIPOTLE LUNCH,11.25,0,Food & Dining,16450.52
2025-02-09,GAS STATION SHELL,45.20,0,Transportation,16405.32
2025-02-10,APPLE APP STORE,2.99,0,Entertainment,16402.33
2025-02-11,COSTCO WHOLESALE,156.78,0,Groceries,16245.55
2025-02-12,DOORDASH DINNER,28.50,0,Food & Dining,16217.05
2025-02-13,LYFT RIDE HOME,18.30,0,Transportation,16198.75
2025-02-14,VALENTINE'S DINNER,89.50,0,Food & Dining,16109.25
2025-02-15,FLOWERS DELIVERY,45.00,0,Shopping,16064.25
2025-02-16,ELECTRICITY BILL,78.45,0,Utilities,15985.80
2025-02-17,INTERNET BILL - COMCAST,65.00,0,Utilities,15920.80
2025-02-18,PHONE BILL - VERIZON,85.00,0,Utilities,15835.80
2025-02-19,TARGET SHOPPING,67.89,0,Shopping,15767.91
2025-02-20,PANERA BREAD,14.75,0,Food & Dining,15753.16
2025-02-21,PARKING GARAGE,8.00,0,Transportation,15745.16
2025-02-22,HEALTH INSURANCE,245.00,0,Insurance,15500.16
2025-02-23,GYM MEMBERSHIP,49.99,0,Health & Fitness,15450.17
2025-02-24,COFFEE BEAN & TEA,5.25,0,Food & Dining,15444.92
2025-02-25,AMAZON PURCHASE,34.99,0,Shopping,15409.93
2025-02-26,UBER EATS,22.80,0,Food & Dining,15387.13
2025-02-27,CREDIT CARD PAYMENT,0,1200,Income,16587.13
2025-02-28,MOVIE THEATER,24.50,0,Entertainment,16562.63
